"Time of Day","Process Name","PID","Operation","Path","Detail","Result"
"2:08:06.8961887 PM","cmd.exe","88580","CreateFile","C:\Users\jimpames\Desktop\FESv8-algebraic\migration_toolkit","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","SUCCESS"
"2:08:06.8962603 PM","cmd.exe","88580","CloseFile","C:\Users\jimpames\Desktop\FESv8-algebraic\migration_toolkit","","SUCCESS"
"2:08:06.8967065 PM","cmd.exe","88580","CreateFile","C:\Users\jimpames\Desktop\FESv8-algebraic\migration_toolkit","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","SUCCESS"
"2:08:06.8967250 PM","cmd.exe","88580","QueryBasicInformationFile","C:\Users\jimpames\Desktop\FESv8-algebraic\migration_toolkit","CreationTime: 6/6/2026 6:32:22 AM, LastAccessTime: 6/7/2026 2:08:06 PM, LastWriteTime: 6/6/2026 7:26:22 AM, ChangeTime: 6/6/2026 7:26:22 AM, FileAttributes: D","SUCCESS"
"2:08:06.8967326 PM","cmd.exe","88580","CloseFile","C:\Users\jimpames\Desktop\FESv8-algebraic\migration_toolkit","","SUCCESS"
"2:08:06.9022205 PM","python.exe","95756","CreateFile","C:\Users\jimpames\Desktop\FESv8-algebraic\migration_toolkit","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened","SUCCESS"
"2:08:06.9171258 PM","python.exe","35508","CreateFile","C:\Users\jimpames\Desktop\FESv8-algebraic\migration_toolkit","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened","SUCCESS"
"2:08:06.9695191 PM","python.exe","35508","CreateFile","C:\Users\jimpames\Desktop\FESv8-algebraic\migration_toolkit\skeleton_engine","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: None, AllocationSize: n/a, OpenResult: Opened","SUCCESS"
"2:08:06.9695447 PM","python.exe","35508","QueryInformationVolume","C:\Users\jimpames\Desktop\FESv8-algebraic\migration_toolkit\skeleton_engine","VolumeCreationTime: 5/30/2024 3:01:34 PM, VolumeSerialNumber: 66CA-DF9F, SupportsObjects: True, VolumeLabel: Winጷ","BUFFER OVERFLOW"
"2:08:06.9695553 PM","python.exe","35508","QueryAllInformationFile","C:\Users\jimpames\Desktop\FESv8-algebraic\migration_toolkit\skeleton_engine","CreationTime: 6/6/2026 6:32:24 AM, LastAccessTime: 6/7/2026 2:08:06 PM, LastWriteTime: 6/6/2026 7:26:23 AM, ChangeTime: 6/6/2026 7:26:23 AM, FileAttributes: D, AllocationSize: 8,192, EndOfFile: 8,192","BUFFER OVERFLOW"
